campus_number,BSC,ECSE,Explore,PSI,SLC-ALT,SLC-STD TREK,SLL,ST1: Direct,ST2: Indirect,ST3: Collaborative/Inclusive,Region 4 RDSPD
289,,1,,,,,,,,,
290,1,,,,,,,,,,
291,,1,,,1,,,,,,
292,,,,1,,,,,,,
295,,1,,1,1,,,,,,
297,,1,,,,,1,,,,
298,,1,,1,,,,,,,
299,1,,,,,,1,,,,
301,,,,,,,,,,,
308,,,,,,,,,,,
310,1,,,,1,,1,,,,
311,,,,,,,,,,,
320,1,,,,,,,,,,
321,,,,,,,,,,,
322,,,,,,,,,,,
323,,,,,,,,,,,
324,,,,,,,,,,,
337,,,,,1,1,1,,,,
338,,,,,1,,1,,,,
340,,,,,,,,,,,
342,,,,,,,,,,,
344,,,,,,1,1,,,,
345,,,,,,,,,,,
348,,,,,,,,,,,
350,,,,,,,,,,,
351,1,,,,,,,,,,
352,,1,,,,,,,,,
353,,1,,,,,1,,,,
354,,1,,,,,,,,,
355,,1,,,,,,,,,
357,,1,,,,,,,,,
358,,,,,,,1,,,,
359,,1,,,,,1,,,,
360,,1,1,,,,,,,,
364,,,,,,,,,,,
369,1,,,,,,,,,,
372,,1,,,,,1,,,,
373,,1,,,,1,,,,,
374,,,,,,,1,,,,
380,,1,,,,,,,,,
382,,,,,,1,1,,,,1
383,,,,,1,,1,,,,
389,,1,,,1,,,,,,
390,,,,,,,,,,,
394,,,,,,1,1,,,,
395,,,,,,,1,,,,
396,,1,1,,,,,,,,
402,1,,,,1,,1,,,,
456,,,,,,,,,,,
458,,,,,1,,,,,,
460,,,,,,,1,,,,
463,,,,,,,,,,,
466,,,,,,,,,,,
467,,,,,,1,,,,,
468,,,,,,,,,,,
470,,1,1,,,,,,,,
473,,,,,,,1,,,,
475,,,,,1,,1,,,,
476,1,,,,,,1,,,,
477,1,,,,,,1,,,,
478,,,,,,,,,,,
479,1,,,,,,1,,,,
480,,,,,,1,1,,,,
483,1,,,,,1,1,,,,
484,,,,,,,,,,,
485,,,,,,,,,,,
486,,,,,,,,,,,
